27 AVENUE ALSACE LORRAINE 01000 BOURG EN BRESSE, 27 Avenue Alsace Lorraine -  01000 Bourg-en-Bresse -  France, 46.2035506, 5.2234169﻿
4 PLACE EDGAR QUINET 01000 BOURG EN BRESSE, 4 Place Edgar Quinet -  01000 Bourg-en-Bresse -  France, 46.2035025, 5.2266939﻿
39 RUE REPUBLIQUE 01000 BOURG EN BRESSE, 39 Rue de la République -  01000 Bourg-en-Bresse -  France, 46.2026143, 5.228412﻿
4 RUE THOMAS RIBOUD 01000 BOURG EN BRESSE, 4 Rue Thomas Riboud -  01000 Bourg-en-Bresse -  France, 46.2045457, 5.225518699999999﻿
12 RUE PAUL PIODA 01000 BOURG EN BRESSE, 12 Rue Paul Pioda -  01000 Bourg-en-Bresse -  France, 46.207251, 5.2257643﻿
10 BOULEVARD JOHN KENNEDY 01000 BOURG EN BRESSE, 10 Boulevard John Kennedy -  01000 Bourg-en-Bresse -  France, 46.2062834, 5.240617299999999﻿
18 AVENUE ALPHONSE BAUDIN 01000 BOURG EN BRESSE, 18 Avenue Alphonse Baudin -  01000 Bourg-en-Bresse -  France, 46.2006395, 5.2175091﻿
1 RUE LITTRE 01000 BOURG EN BRESSE, 1 Rue Littré -  01000 Bourg-en-Bresse -  France, 46.2029505, 5.228023599999999﻿
5 RUE REPUBLIQUE 01000 BOURG EN BRESSE, 5 Rue de la République -  01000 Bourg-en-Bresse -  France, 46.2034253, 5.227060499999999﻿
2 RUE FONTANETTES 01000 BOURG EN BRESSE, 2 Rue des Fontanettes -  01000 Bourg-en-Bresse -  France, 46.2049883, 5.2289326﻿
39 AVENUE JEAN JAURES 01000 BOURG EN BRESSE, 39 Avenue Jean Jaurès -  01000 Bourg-en-Bresse -  France, 46.1987865, 5.2176135﻿
5 RUE ESPAGNE 01000 BOURG EN BRESSE, 5 Rue d'Espagne -  01000 Bourg-en-Bresse -  France, 46.20469749999999, 5.224636299999999﻿
18 AVENUE SPORTS 01000 BOURG EN BRESSE, 18 Avenue des Sports -  01000 Bourg-en-Bresse -  France, 46.2091729, 5.238116﻿
142 BOULEVARD BROU 01000 BOURG EN BRESSE, 142 Boulevard de Brou -  01000 Bourg-en-Bresse -  France, 46.1990331, 5.233898300000001﻿
5 COURS VERDUN 01000 BOURG EN BRESSE, 5 Cours de Verdun -  01000 Bourg-en-Bresse -  France, 46.2061443, 5.2251278﻿
22 RUE JULES MIGONNEY 01000 BOURG EN BRESSE, 22 Rue Jules Migonney -  01000 Bourg-en-Bresse -  France, 46.2032705, 5.225939299999999﻿
8 AVENUE SPORTS 01000 BOURG EN BRESSE, 8 Avenue des Sports -  01000 Bourg-en-Bresse -  France, 46.20746140000001, 5.2361479﻿
13 RUE PRE NEUF 01000 BOURG EN BRESSE, 13 Rue du Pré Neuf -  01000 Bourg-en-Bresse -  France, 46.208366, 5.2406954﻿
11 RUE REPUBLIQUE 01000 BOURG EN BRESSE, 11 Rue de la République -  01000 Bourg-en-Bresse -  France, 46.2033104, 5.2273136﻿
88 BOULEVARD BROU 01000 BOURG EN BRESSE, 88 Boulevard de Brou -  01000 Bourg-en-Bresse -  France, 46.20139289999999, 5.2320755﻿
26 BOULEVARD BROU 01000 BOURG EN BRESSE, 26 Boulevard de Brou -  01000 Bourg-en-Bresse -  France, 46.2044661, 5.229438399999999﻿
